feature,values
NAME_CONTRACT_TYPE,['Consumer loans' 'Cash loans' 'Revolving loans' 'XNA']
WEEKDAY_APPR_PROCESS_START,['SATURDAY' 'THURSDAY' 'TUESDAY' 'MONDAY' 'FRIDAY' 'SUNDAY' 'WEDNESDAY']
FLAG_LAST_APPL_PER_CONTRACT,['Y' 'N']
NFLAG_LAST_APPL_IN_DAY,[1 0]
NAME_CONTRACT_STATUS,['Approved' 'Refused' 'Canceled' 'Unused offer']
NAME_PAYMENT_TYPE,"['Cash through the bank' 'XNA' 'Non-cash from your account'
 'Cashless from the account of the employer']"
CODE_REJECT_REASON,['XAP' 'HC' 'LIMIT' 'CLIENT' 'SCOFR' 'SCO' 'XNA' 'VERIF' 'SYSTEM']
NAME_TYPE_SUITE,"[nan 'Unaccompanied' 'Spouse, partner' 'Family' 'Children' 'Other_B'
 'Other_A' 'Group of people']"
NAME_CLIENT_TYPE,['Repeater' 'New' 'Refreshed' 'XNA']
NAME_PORTFOLIO,['POS' 'Cash' 'XNA' 'Cards' 'Cars']
NAME_PRODUCT_TYPE,['XNA' 'x-sell' 'walk-in']
CHANNEL_TYPE,"['Country-wide' 'Contact center' 'Credit and cash offices' 'Stone'
 'Regional / Local' 'AP+ (Cash loan)' 'Channel of corporate sales'
 'Car dealer']"
NAME_YIELD_GROUP,['middle' 'low_action' 'high' 'low_normal' 'XNA']
NFLAG_INSURED_ON_APPROVAL,[ 0.  1. nan]
